Compagnie,Heure_du_départ,Heure_arrivée,Prix,Durée,aéroport,jour_du_vol
"Tunisair, Tunisair Express",11:45 AM,9:15 PM,€221,10 hr 30 min,ORYParis-Orly Airport,2024-09-17
"Tunisair, Tunisair Express",11:45 AM,9:45 AM+1,€221,23 hr,ORYParis-Orly Airport,2024-09-17
ITA,11:40 AM,9:35 AM+1,€230,22 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-17
ITA,1:55 PM,9:35 AM+1,€230,20 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-17
ITA,6:15 PM,9:35 AM+1,€230,16 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-17
ITA,6:15 PM,5:05 PM+1,€230,23 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,6:45 AM,3:50 PM,€232,10 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,6:45 AM,11:10 PM,€232,17 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,6:45 AM,11:10 PM,€232,17 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,6:45 AM,11:10 PM,€232,17 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,6:45 AM,11:10 PM,€232,17 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,6:45 AM,11:10 PM,€232,17 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,6:45 AM,11:10 PM,€232,17 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,9:00 AM,3:50 PM,€232,7 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,9:00 AM,11:10 PM,€232,15 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-17
Lufthansa,9:00 AM,11:10 PM,€232,15 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-17
