Compagnie,Heure_du_départ,Heure_arrivée,Prix,Durée,aéroport,jour_du_vol,Compagnie_code,weekend_verif
LUFTHANSA,6:45 AM,11:10 PM,626.0,17 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-20,7,False
LUFTHANSA,8:10 AM,11:10 PM,626.0,16 hr,CDGParis Charles de Gaulle Airport,2024-09-08,7,True
LUFTHANSA,12:10 PM,11:10 PM,626.0,12 hr,CDGParis Charles de Gaulle Airport,2024-09-08,7,True
LUFTHANSA,2:30 PM,11:10 PM,626.0,9 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-08,7,True
LUFTHANSA,8:10 AM,11:10 PM,626.0,16 hr,CDGParis Charles de Gaulle Airport,2024-09-15,7,True
LUFTHANSA,2:30 PM,11:10 PM,626.0,9 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-27,7,False
LUFTHANSA,10:35 AM,4:25 PM,627.0,6 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-21,7,True
LUFTHANSA,7:30 AM,4:25 PM,627.0,9 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-28,7,True
LUFTHANSA,7:30 AM,4:25 PM,627.0,9 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-14,7,True
LUFTHANSA,6:05 AM,4:25 PM,627.0,11 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-28,7,True
ITA,1:55 PM,5:00 PM+1,651.0,28 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-08,6,True
LUFTHANSA,6:30 PM,10:50 AM+1,652.0,17 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-14,7,True
LUFTHANSA,2:30 PM,11:10 PM,653.0,9 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-22,7,True
LUFTHANSA,6:30 PM,11:10 PM,653.0,5 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-20,7,False
TURKISH AIRLINES,7:50 PM,9:05 AM+1,668.0,14 hr 15 min,CDGParis Charles de Gaulle Airport,2024-09-04,16,False
TURKISH AIRLINES,5:55 PM,9:05 AM+1,668.0,16 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-04,16,False
TURKISH AIRLINES,4:05 PM,10:40 PM,672.0,7 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-10,16,False
TURKISH AIRLINES,4:05 PM,4:15 PM+1,672.0,25 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-10,16,False
TURKISH AIRLINES,7:20 AM,4:15 PM,672.0,9 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-11,16,False
TURKISH AIRLINES,7:20 AM,10:40 PM,672.0,16 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-11,16,False
TURKISH AIRLINES,11:15 AM,10:40 PM,672.0,12 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-11,16,False
TURKISH AIRLINES,2:10 PM,10:40 PM,672.0,9 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-11,16,False
TURKISH AIRLINES,4:05 PM,10:40 PM,672.0,7 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-11,16,False
TURKISH AIRLINES,7:50 PM,9:05 AM+1,672.0,14 hr 15 min,CDGParis Charles de Gaulle Airport,2024-09-11,16,False
TURKISH AIRLINES,11:05 AM,10:40 PM,672.0,12 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-14,16,True
TURKISH AIRLINES,12:05 PM,10:40 PM,672.0,11 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-10,16,False
TURKISH AIRLINES,2:10 PM,10:40 PM,672.0,9 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-10,16,False
TURKISH AIRLINES,4:05 PM,10:40 PM,672.0,7 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-05,16,False
TURKISH AIRLINES,2:10 PM,10:40 PM,672.0,9 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-05,16,False
TURKISH AIRLINES,12:05 PM,10:40 PM,672.0,11 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-05,16,False
TURKISH AIRLINES,11:05 AM,10:40 PM,672.0,12 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-05,16,False
TURKISH AIRLINES,11:05 AM,10:40 PM,672.0,12 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-10,16,False
TURKISH AIRLINES,4:05 PM,9:05 AM+1,677.0,18 hr,CDGParis Charles de Gaulle Airport,2024-09-08,16,True
TURKISH AIRLINES,7:50 PM,9:05 AM+1,681.0,14 hr 15 min,CDGParis Charles de Gaulle Airport,2024-09-05,16,False
"LUFTHANSA, ITA",7:30 AM,5:05 PM,683.0,10 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-22,8,True
"LUFTHANSA, ITA",6:05 AM,5:05 PM,683.0,12 hr,CDGParis Charles de Gaulle Airport,2024-09-22,8,True
"AUSTRIAN, ITA",3:55 PM,9:35 AM+1,684.0,18 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-14,4,True
"SWISS, ITA",9:45 AM,9:35 AM+1,684.0,24 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-19,12,False
